t_s,frame,dtMs,fps,cpuMainMs,cpuRenderMs,gpuMs,presentWaitMs
4.950,0,4949.84,0.2,0.00,0.00,0.00,0.00
6.108,1,1157.68,0.9,0.03,0.73,0.00,0.00
6.414,2,306.81,3.3,0.03,1.37,0.00,0.00
6.835,3,420.87,2.4,0.04,9.00,0.00,0.00
7.251,4,415.79,2.4,218.09,2.73,0.53,0.00
7.662,5,411.13,2.4,32.07,5.48,0.76,0.00
8.104,6,441.57,2.3,23.07,181.93,0.83,0.00
8.506,7,402.53,2.5,8.28,190.56,3.47,0.00
8.597,8,90.76,11.0,8.75,202.71,3.99,0.00
8.684,9,86.89,11.5,7.54,176.33,7.96,1.99
8.751,10,66.85,15.0,14.54,38.16,9.07,4.22
8.816,11,65.63,15.2,8.25,31.54,7.42,1.72
8.883,12,66.73,15.0,6.87,21.43,5.73,4.45
8.950,13,66.64,15.0,8.73,20.57,13.09,4.80
9.016,14,66.42,15.1,9.32,21.79,13.60,3.73
9.083,15,67.07,14.9,8.15,23.98,13.11,5.76
9.150,16,66.44,15.1,6.79,21.08,5.28,4.11
9.216,17,66.55,15.0,8.47,25.50,6.73,0.88
9.261,18,44.45,22.5,7.51,23.92,5.87,0.00
9.305,19,44.52,22.5,6.91,24.87,5.41,0.00
9.349,20,44.22,22.6,7.19,14.15,5.48,0.34
9.394,21,44.39,22.5,7.75,14.94,5.74,0.00
9.439,22,44.87,22.3,6.18,14.22,4.29,0.00
9.483,23,44.23,22.6,6.88,13.86,5.08,0.00
9.527,24,44.43,22.5,6.90,14.57,4.88,0.00
9.572,25,45.07,22.2,6.70,13.21,4.39,0.00
9.616,26,43.70,22.9,6.95,13.80,5.14,0.00
9.661,27,44.77,22.3,7.28,14.40,1.30,0.00
9.706,28,45.07,22.2,8.37,13.77,1.29,0.00
9.727,29,21.54,46.4,6.25,13.96,1.11,0.00
9.750,30,22.68,44.1,7.82,14.50,1.47,0.00
9.773,31,22.65,44.1,7.23,2.37,1.13,0.00
9.794,32,21.48,46.6,6.96,3.83,1.32,0.00
9.816,33,22.07,45.3,6.36,2.69,1.20,0.00
9.840,34,23.31,42.9,7.19,1.86,1.12,0.00
9.861,35,21.35,46.8,5.81,3.53,0.99,0.00
9.883,36,22.20,45.0,6.01,1.78,1.14,0.00
9.906,37,22.74,44.0,7.94,2.09,0.99,0.00
9.927,38,21.58,46.3,6.40,4.58,1.29,0.00
9.950,39,22.06,45.3,5.62,2.79,0.99,0.35
9.972,40,22.87,43.7,7.03,1.52,1.14,0.00
9.994,41,21.79,45.9,6.62,3.53,0.99,0.00
10.016,42,22.23,45.0,5.94,2.83,1.13,0.18
10.039,43,22.79,43.9,7.26,2.36,1.20,0.00
10.061,44,21.72,46.0,6.49,3.16,1.14,0.00
10.083,45,22.30,44.9,5.79,2.65,0.99,0.00
10.106,46,22.32,44.8,7.69,2.09,1.30,0.00
10.128,47,21.96,45.5,5.78,3.23,0.99,0.00
10.150,48,21.98,45.5,6.67,2.53,1.29,0.43
10.172,49,22.97,43.5,5.69,2.50,0.99,0.00
10.194,50,21.81,45.8,7.19,3.24,1.30,0.00
10.216,51,21.97,45.5,5.56,3.71,0.99,0.00
10.239,52,23.05,43.4,6.32,2.90,1.11,0.00
10.261,53,22.05,45.4,6.30,2.99,1.19,0.00
10.283,54,21.78,45.9,6.00,1.78,1.15,0.29
10.306,55,22.39,44.7,7.61,2.72,0.99,0.00
10.327,56,21.94,45.6,6.07,1.36,1.12,0.00
10.350,57,22.23,45.0,5.90,2.40,0.99,0.90
10.372,58,22.68,44.1,7.29,1.93,1.31,0.00
10.395,59,22.15,45.1,6.63,3.52,0.99,0.00
10.416,60,21.76,46.0,6.03,2.92,2.70,0.00
10.439,61,22.83,43.8,5.95,2.28,0.99,0.00
10.461,62,21.92,45.6,6.41,3.17,1.14,0.00
10.483,63,21.97,45.5,6.42,3.80,2.98,0.00
10.506,64,23.14,43.2,7.48,2.68,1.29,0.00
10.529,65,22.75,44.0,5.68,3.08,0.99,0.00
10.551,66,21.94,45.6,6.28,2.61,2.52,0.00
10.574,67,23.05,43.4,5.91,2.74,0.99,0.00
10.595,68,21.36,46.8,7.43,3.05,1.48,0.00
