t_s,frame,dtMs,fps,cpuMainMs,cpuRenderMs,gpuMs,presentWaitMs,gc0,gc1,gc2
4.933,0,4933.35,0.2,0.00,0.00,0.00,0.00,382,382,382
6.113,1,1179.29,0.8,0.00,0.00,0.00,0.00,382,382,382
6.380,2,267.07,3.7,0.04,1.57,0.00,0.00,383,383,383
6.808,3,427.97,2.3,0.04,8.39,0.00,0.00,383,383,383
7.208,4,400.44,2.5,217.38,2.81,0.54,0.00,383,383,383
7.628,5,420.28,2.4,32.08,10.45,0.91,0.00,383,383,383
8.051,6,422.14,2.4,28.93,174.71,1.00,0.00,383,383,383
8.473,7,422.75,2.4,10.57,197.27,4.76,0.62,383,383,383
8.584,8,110.63,9.0,8.24,205.99,7.71,6.78,383,383,383
8.695,9,111.06,9.0,8.71,198.17,7.85,2.02,383,383,383
8.761,10,66.41,15.1,8.74,35.55,8.38,8.21,383,383,383
8.828,11,66.93,14.9,8.77,40.11,8.76,13.36,383,383,383
8.895,12,66.37,15.1,7.85,21.65,8.59,9.73,383,383,383
8.961,13,66.65,15.0,9.08,20.69,8.75,7.85,383,383,383
9.031,14,69.67,14.4,8.84,24.84,7.58,6.88,383,383,383
9.095,15,64.00,15.6,7.81,26.44,16.91,0.00,383,383,383
9.161,16,66.30,15.1,7.05,21.40,7.03,2.80,383,383,383
9.228,17,66.88,15.0,9.90,19.56,7.23,8.44,383,383,383
9.295,18,66.56,15.0,9.96,19.20,6.46,7.58,383,383,383
9.361,19,66.72,15.0,8.76,23.57,6.23,7.44,383,383,383
9.432,20,70.05,14.3,7.59,21.41,12.02,5.95,383,383,383
9.495,21,63.46,15.8,8.47,21.99,6.79,7.29,383,383,383
9.561,22,66.40,15.1,7.91,22.85,11.45,7.46,383,383,383
9.628,23,66.86,15.0,8.31,19.43,11.32,6.88,383,383,383
9.695,24,66.38,15.1,7.26,18.62,6.60,7.44,383,383,383
9.761,25,66.86,15.0,10.03,24.59,11.98,3.37,383,383,383
9.828,26,66.68,15.0,7.53,23.79,1.63,0.00,383,383,383
9.895,27,66.52,15.0,8.08,25.74,1.84,0.00,383,383,383
9.939,28,44.25,22.6,7.21,21.12,1.49,7.29,383,383,383
9.983,29,44.56,22.4,8.50,16.58,1.90,6.06,383,383,383
10.028,30,44.39,22.5,7.93,13.56,1.61,6.64,383,383,383
10.072,31,44.43,22.5,7.04,14.35,1.72,0.00,383,383,383
10.117,32,44.62,22.4,6.83,14.26,1.64,0.00,383,383,383
10.161,33,44.33,22.6,6.63,13.42,1.45,0.00,383,383,383
10.205,34,44.11,22.7,7.46,14.81,1.84,0.00,383,383,383
10.228,35,22.26,44.9,6.50,15.61,1.53,0.00,383,383,383
10.250,36,22.30,44.8,7.10,15.47,1.66,0.00,383,383,383
10.272,37,22.10,45.2,6.34,3.77,1.68,0.00,383,383,383
10.294,38,22.17,45.1,6.10,2.32,1.50,0.00,383,383,383
10.317,39,22.37,44.7,6.78,3.40,1.27,0.00,383,383,383
10.339,40,22.15,45.1,6.27,2.96,1.47,0.00,383,383,383
10.361,41,22.11,45.2,6.59,3.99,1.55,0.00,383,383,383
10.383,42,22.27,44.9,5.91,1.99,1.46,0.00,383,383,383
